language,word,letterColor,corrAns,congruent,thisN,thisTrialN,thisRepN,resp.keys,resp.corr,resp.rt,resp.duration,resp_min.keys,resp_min.corr,resp_min.rt,resp_min.duration,trials_nomax.thisRepN,trials_nomax.thisTrialN,trials_nomax.thisN,trials_nomax.thisIndex,trials_min.thisRepN,trials_min.thisTrialN,trials_min.thisN,trials_min.thisIndex,thisRow.t,notes,piloting,instructions.started,instrText.started,ready.started,instructions.stopped,trial.started,text.started,resp.started,trial.stopped,trials_nomax.resp.keys,trials_nomax.resp.corr,trials_nomax.resp.rt,trials_nomax.resp.duration,__trial_min.started,text_min.started,resp_min.started,text_min.stopped,__trial_min.stopped,trials_min.resp_min.keys,trials_min.resp_min.corr,trials_min.resp_min.rt,trials_min.resp_min.duration,thanks.started,thanksText.started,thanks.stopped,participant,session,age (years),date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,True,0.0090941000089515,0.025185999998939224,0.025185999998939224,20.72425569999905,,,,,,,,,,,,,,,,,,,,,2791473,001,35,2026-05-07_12h55.15.438,stroop_group,,2026.1.3,59.95264939465186,2026-05-07 12h55.15.544208 +0300,
EN,green,blue,right,0,0,0,0,right,1,2.2826643000007607,None,,,,,0,0,0,3,,,,,20.757677700006752,,,,,,,20.74580620000779,21.229265800007852,21.229265800007852,23.51913770000101,right,1,2.2826643000007607,None,,,,,,,,,,,,,2791473,001,35,2026-05-07_12h55.15.438,stroop_group,,2026.1.3,59.95264939465186,2026-05-07 12h55.15.544208 +0300,
EN,red,red,left,1,1,1,0,left,1,0.6458416000095895,None,,,,,0,1,1,0,,,,,23.541630300009274,,,,,,,23.526273199997377,24.02571899999748,24.02571899999748,24.678232700010994,left,1,0.6458416000095895,None,,,,,,,,,,,,,2791473,001,35,2026-05-07_12h55.15.438,stroop_group,,2026.1.3,59.95264939465186,2026-05-07 12h55.15.544208 +0300,
TR,yeşil,blue,right,0,2,2,0,right,1,1.3270883000077447,None,,,,,0,2,2,9,,,,,24.70729220000794,,,,,,,24.687437300002784,25.191890500005684,25.191890500005684,26.533667700001388,right,1,1.3270883000077447,None,,,,,,,,,,,,,2791473,001,35,2026-05-07_12h55.15.438,stroop_group,,2026.1.3,59.95264939465186,2026-05-07 12h55.15.544208 +0300,
TR,yeşil,green,down,1,3,3,0,down,1,0.48359470001014415,None,,,,,0,3,3,8,,,,,26.54080880001129,,,,,,,26.535522000005585,27.042098300007638,27.042098300007638,27.53185200000007,down,1,0.48359470001014415,None,,,,,,,,,,,,,2791473,001,35,2026-05-07_12h55.15.438,stroop_group,,2026.1.3,59.95264939465186,2026-05-07 12h55.15.544208 +0300,
EN,green,green,down,1,4,4,0,down,1,0.649838199999067,None,,,,,0,4,4,2,,,,,27.558615000001737,,,,,,,27.53764900000533,28.0403093000059,28.0403093000059,28.698130200005835,down,1,0.649838199999067,None,,,,,,,,,,,,,2791473,001,35,2026-05-07_12h55.15.438,stroop_group,,2026.1.3,59.95264939465186,2026-05-07 12h55.15.544208 +0300,
EN,red,green,down,0,5,5,0,down,1,0.9089727000100538,None,,,,,0,5,5,1,,,,,28.707995800010394,,,,,,,28.70284790000005,29.206872499999008,29.206872499999008,30.13590860000113,down,1,0.9089727000100538,None,,,,,,,,,,,,,2791473,001,35,2026-05-07_12h55.15.438,stroop_group,,2026.1.3,59.95264939465186,2026-05-07 12h55.15.544208 +0300,
TR,kırmızı,red,left,1,6,6,0,left,1,0.6618935000005877,None,,,,,0,6,6,6,,,,,30.158717199999955,,,,,,,30.151218200000585,30.658402700006263,30.658402700006263,31.331211800003075,left,1,0.6618935000005877,None,,,,,,,,,,,,,2791473,001,35,2026-05-07_12h55.15.438,stroop_group,,2026.1.3,59.95264939465186,2026-05-07 12h55.15.544208 +0300,
TR,kırmızı,green,down,0,7,7,0,down,1,0.6015459000045666,None,,,,,0,7,7,7,,,,,31.34217770000396,,,,,,,31.332190400004038,31.841854300000705,31.841854300000705,32.45088580000447,down,1,0.6015459000045666,None,,,,,,,,,,,,,2791473,001,35,2026-05-07_12h55.15.438,stroop_group,,2026.1.3,59.95264939465186,2026-05-07 12h55.15.544208 +0300,
TR,mavi,red,left,0,8,8,0,left,1,1.2031311000027927,None,,,,,0,8,8,11,,,,,32.476090199998,,,,,,,32.46334550000029,32.95863829999871,32.95863829999871,34.16706680000061,left,1,1.2031311000027927,None,,,,,,,,,,,,,2791473,001,35,2026-05-07_12h55.15.438,stroop_group,,2026.1.3,59.95264939465186,2026-05-07 12h55.15.544208 +0300,
