language,word,letterColor,corrAns,congruent,thisN,thisTrialN,thisRepN,resp.keys,resp.corr,resp.rt,resp.duration,resp_min.keys,resp_min.corr,resp_min.rt,resp_min.duration,trials_nomax.thisRepN,trials_nomax.thisTrialN,trials_nomax.thisN,trials_nomax.thisIndex,trials_min.thisRepN,trials_min.thisTrialN,trials_min.thisN,trials_min.thisIndex,thisRow.t,notes,piloting,instructions.started,instrText.started,ready.started,instructions.stopped,trial.started,text.started,resp.started,trial.stopped,trials_nomax.resp.keys,trials_nomax.resp.corr,trials_nomax.resp.rt,trials_nomax.resp.duration,__trial_min.started,text_min.started,resp_min.started,text_min.stopped,__trial_min.stopped,trials_min.resp_min.keys,trials_min.resp_min.corr,trials_min.resp_min.rt,trials_min.resp_min.duration,thanks.started,thanksText.started,thanksText.stopped,thanks.stopped,participant,session,age (years),date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,True,0.020707625022623688,0.025010291021317244,0.025010291021317244,4.242630000022473,,,,,,,,,,,,,,,,,,,,,,ogumus,001,26,2026-05-07_12h53.58.938,stroop_group,,2026.1.3,119.82415806218505,2026-05-07 12h53.59.001094 +0300,
EN,red,green,down,0,0,0,0,down,1,2.223075082991272,None,,,,,0,0,0,1,,,,,4.258520291012246,,,,,,,4.246990875020856,4.741617750027217,4.741617750027217,6.96762070801924,down,1,2.223075082991272,None,,,,,,,,,,,,,,ogumus,001,26,2026-05-07_12h53.58.938,stroop_group,,2026.1.3,119.82415806218505,2026-05-07 12h53.59.001094 +0300,
TR,mavi,blue,right,1,1,1,0,right,1,0.6480608749843668,None,,,,,0,1,1,10,,,,,6.991882333008107,,,,,,,6.9694472910196055,7.46660354101914,7.46660354101914,8.11747016600566,right,1,0.6480608749843668,None,,,,,,,,,,,,,,ogumus,001,26,2026-05-07_12h53.58.938,stroop_group,,2026.1.3,119.82415806218505,2026-05-07 12h53.59.001094 +0300,
TR,yeşil,blue,right,0,2,2,0,right,1,0.5932754990062676,None,,,,,0,2,2,9,,,,,8.124935541010927,,,,,,,8.119171583006391,8.608356625016313,8.608356625016313,9.209149875008734,right,1,0.5932754990062676,None,,,,,,,,,,,,,,ogumus,001,26,2026-05-07_12h53.58.938,stroop_group,,2026.1.3,119.82415806218505,2026-05-07 12h53.59.001094 +0300,
TR,kırmızı,green,down,0,3,3,0,down,1,1.00239291600883,None,,,,,0,3,3,7,,,,,9.216546291019768,,,,,,,9.210863750020508,9.708219125022879,9.708219125022879,10.71747608302394,down,1,1.00239291600883,None,,,,,,,,,,,,,,ogumus,001,26,2026-05-07_12h53.58.938,stroop_group,,2026.1.3,119.82415806218505,2026-05-07 12h53.59.001094 +0300,
EN,green,green,down,1,4,4,0,down,1,0.7103901249938644,None,,,,,0,4,4,2,,,,,10.724948083021445,,,,,,,10.718342750013107,11.20819158302038,11.20819158302038,11.92579466602183,down,1,0.7103901249938644,None,,,,,,,,,,,,,,ogumus,001,26,2026-05-07_12h53.58.938,stroop_group,,2026.1.3,119.82415806218505,2026-05-07 12h53.59.001094 +0300,
TR,yeşil,green,down,1,5,5,0,down,1,1.3956998329958878,None,,,,,0,5,5,8,,,,,11.93318000002182,,,,,,,11.926596416014945,12.416616083006375,12.416616083006375,13.817463416024111,down,1,1.3956998329958878,None,,,,,,,,,,,,,,ogumus,001,26,2026-05-07_12h53.58.938,stroop_group,,2026.1.3,119.82415806218505,2026-05-07 12h53.59.001094 +0300,
EN,blue,red,left,0,6,6,0,left,1,1.7989887919975445,None,,,,,0,6,6,5,,,,,13.824862416018732,,,,,,,13.818844333000015,14.31653483302216,14.31653483302216,16.117460500012385,left,1,1.7989887919975445,None,,,,,,,,,,,,,,ogumus,001,26,2026-05-07_12h53.58.938,stroop_group,,2026.1.3,119.82415806218505,2026-05-07 12h53.59.001094 +0300,
EN,red,red,left,1,7,7,0,left,1,0.43920220801373944,None,,,,,0,7,7,0,,,,,16.124923875002423,,,,,,,16.118195291026495,16.608241416019155,16.608241416019155,17.050672916026087,left,1,0.43920220801373944,None,,,,,,,,,,,,,,ogumus,001,26,2026-05-07_12h53.58.938,stroop_group,,2026.1.3,119.82415806218505,2026-05-07 12h53.59.001094 +0300,
TR,mavi,red,left,0,8,8,0,left,1,0.4349351240089163,None,,,,,0,8,8,11,,,,,17.058221541024977,,,,,,,17.051475208019838,17.541515708027873,17.541515708027873,17.984070958016673,left,1,0.4349351240089163,None,,,,,,,,,,,,,,ogumus,001,26,2026-05-07_12h53.58.938,stroop_group,,2026.1.3,119.82415806218505,2026-05-07 12h53.59.001094 +0300,
