instructions.started,instructions.stopped,participant,session,age (years),date,expName,psychopyVersion,OS,frameRate,trial.started,trial.stopped,resp.keys,resp.corr,resp.rt,resp.duration,trials_nomax.thisRepN,trials_nomax.thisTrialN,trials_nomax.thisN,trials_nomax.thisIndex,trials_nomax.ran,language,word,letterColor,corrAns,congruent,__trial_min.started,__trial_min.stopped,resp_min.keys,resp_min.corr,resp_min.rt,resp_min.duration,trials_min.thisRepN,trials_min.thisTrialN,trials_min.thisN,trials_min.thisIndex,trials_min.ran,thanks.started,thanks.stopped
0.0005,14.9516,645750,001,28,2026-05-07_12h59.02.995,stroop_group,2026.1.3,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,645750,001,28,2026-05-07_12h59.02.995,stroop_group,2026.1.3,MacIntel,60.24096386,14.9765,17.5178,right,1,2.0111,,0,0,0,9,1,TR,yeşil,blue,right,0,,,,,,,,,,,,,
,,645750,001,28,2026-05-07_12h59.02.995,stroop_group,2026.1.3,MacIntel,60.24096386,17.5186,19.0177,down,1,0.9626,,0,1,1,8,1,TR,yeşil,green,down,1,,,,,,,,,,,,,
,,645750,001,28,2026-05-07_12h59.02.995,stroop_group,2026.1.3,MacIntel,60.24096386,19.0194,21.034,down,1,1.487,,0,2,2,7,1,TR,kırmızı,green,down,0,,,,,,,,,,,,,
,,645750,001,28,2026-05-07_12h59.02.995,stroop_group,2026.1.3,MacIntel,60.24096386,21.0346,22.2009,left,1,0.6264,,0,3,3,5,1,EN,blue,red,left,0,,,,,,,,,,,,,
,,645750,001,28,2026-05-07_12h59.02.995,stroop_group,2026.1.3,MacIntel,60.24096386,22.2028,23.2677,left,1,0.53,,0,4,4,0,1,EN,red,red,left,1,,,,,,,,,,,,,
,,645750,001,28,2026-05-07_12h59.02.995,stroop_group,2026.1.3,MacIntel,60.24096386,23.2693,24.3509,right,1,0.5461,,0,5,5,4,1,EN,blue,blue,right,1,,,,,,,,,,,,,
,,645750,001,28,2026-05-07_12h59.02.995,stroop_group,2026.1.3,MacIntel,60.24096386,24.3524,25.5843,right,1,0.6954,,0,6,6,3,1,EN,green,blue,right,0,,,,,,,,,,,,,
,,645750,001,28,2026-05-07_12h59.02.995,stroop_group,2026.1.3,MacIntel,60.24096386,25.5859,26.9011,left,1,0.7786,,0,7,7,6,1,TR,kırmızı,red,left,1,,,,,,,,,,,,,
,,645750,001,28,2026-05-07_12h59.02.995,stroop_group,2026.1.3,MacIntel,60.24096386,26.9028,30.7176,left,1,3.2855,,0,8,8,11,1,TR,mavi,red,left,0,,,,,,,,,,,,,
,,645750,001,28,2026-05-07_12h59.02.995,stroop_group,2026.1.3,MacIntel,60.24096386,30.7183,32.051,right,1,0.7977,,0,9,9,10,1,TR,mavi,blue,right,1,,,,,,,,,,,,,
,,645750,001,28,2026-05-07_12h59.02.995,stroop_group,2026.1.3,MacIntel,60.24096386,32.0525,32.9834,down,1,0.3941,,0,10,10,1,1,EN,red,green,down,0,,,,,,,,,,,,,
,,645750,001,28,2026-05-07_12h59.02.995,stroop_group,2026.1.3,MacIntel,60.24096386,32.9844,34.0008,right,0,0.4969,,0,11,11,2,1,EN,green,green,down,1,,,,,,,,,,,,,
,,645750,001,28,2026-05-07_12h59.02.995,stroop_group,2026.1.3,MacIntel,60.24096386,34.0023,35.4007,left,1,0.8747,,1,0,12,5,1,EN,blue,red,left,0,,,,,,,,,,,,,
,,645750,001,28,2026-05-07_12h59.02.995,stroop_group,2026.1.3,MacIntel,60.24096386,35.402,38.1509,right,1,2.2115,,1,1,13,3,1,EN,green,blue,right,0,,,,,,,,,,,,,
,,645750,001,28,2026-05-07_12h59.02.995,stroop_group,2026.1.3,MacIntel,60.24096386,38.1523,39.6341,left,1,0.958,,1,2,14,11,1,TR,mavi,red,left,0,,,,,,,,,,,,,
,,645750,001,28,2026-05-07_12h59.02.995,stroop_group,2026.1.3,MacIntel,60.24096386,39.6355,40.8009,down,1,0.6287,,1,3,15,8,1,TR,yeşil,green,down,1,,,,,,,,,,,,,
,,645750,001,28,2026-05-07_12h59.02.995,stroop_group,2026.1.3,MacIntel,60.24096386,40.8014,43.5509,right,1,2.2161,,1,4,16,9,1,TR,yeşil,blue,right,0,,,,,,,,,,,,,
,,645750,001,28,2026-05-07_12h59.02.995,stroop_group,2026.1.3,MacIntel,60.24096386,43.5522,45.1505,right,1,1.0741,,1,5,17,4,1,EN,blue,blue,right,1,,,,,,,,,,,,,
,,645750,001,28,2026-05-07_12h59.02.995,stroop_group,2026.1.3,MacIntel,60.24096386,45.1511,46.1339,right,1,0.4473,,1,6,18,10,1,TR,mavi,blue,right,1,,,,,,,,,,,,,
,,645750,001,28,2026-05-07_12h59.02.995,stroop_group,2026.1.3,MacIntel,60.24096386,46.1352,47.3676,down,1,0.6967,,1,7,19,7,1,TR,kırmızı,green,down,0,,,,,,,,,,,,,
,,645750,001,28,2026-05-07_12h59.02.995,stroop_group,2026.1.3,MacIntel,60.24096386,47.3689,48.6341,down,1,0.7343,,1,8,20,2,1,EN,green,green,down,1,,,,,,,,,,,,,
,,645750,001,28,2026-05-07_12h59.02.995,stroop_group,2026.1.3,MacIntel,60.24096386,48.6354,50.2508,down,1,1.0775,,1,9,21,1,1,EN,red,green,down,0,,,,,,,,,,,,,
,,645750,001,28,2026-05-07_12h59.02.995,stroop_group,2026.1.3,MacIntel,60.24096386,50.2516,51.8341,left,1,1.0486,,1,10,22,0,1,EN,red,red,left,1,,,,,,,,,,,,,
,,645750,001,28,2026-05-07_12h59.02.995,stroop_group,2026.1.3,MacIntel,60.24096386,51.8354,53.0175,left,1,0.6443,,1,11,23,6,1,TR,kırmızı,red,left,1,,,,,,,,,,,,,
,,645750,001,28,2026-05-07_12h59.02.995,stroop_group,2026.1.3,MacIntel,60.24096386,53.0188,55.8508,left,1,2.298,,2,0,24,11,1,TR,mavi,red,left,0,,,,,,,,,,,,,
,,645750,001,28,2026-05-07_12h59.02.995,stroop_group,2026.1.3,MacIntel,60.24096386,55.8521,57.2175,down,1,0.8291,,2,1,25,7,1,TR,kırmızı,green,down,0,,,,,,,,,,,,,
,,645750,001,28,2026-05-07_12h59.02.995,stroop_group,2026.1.3,MacIntel,60.24096386,57.2189,58.3008,left,1,0.5472,,2,2,26,0,1,EN,red,red,left,1,,,,,,,,,,,,,
,,645750,001,28,2026-05-07_12h59.02.995,stroop_group,2026.1.3,MacIntel,60.24096386,58.3014,61.3341,down,1,2.5061,,2,3,27,1,1,EN,red,green,down,0,,,,,,,,,,,,,
,,645750,001,28,2026-05-07_12h59.02.995,stroop_group,2026.1.3,MacIntel,60.24096386,61.3354,62.4176,right,1,0.5441,,2,4,28,4,1,EN,blue,blue,right,1,,,,,,,,,,,,,
,,645750,001,28,2026-05-07_12h59.02.995,stroop_group,2026.1.3,MacIntel,60.24096386,62.4192,64.9841,right,1,2.0358,,2,5,29,9,1,TR,yeşil,blue,right,0,,,,,,,,,,,,,
,,645750,001,28,2026-05-07_12h59.02.995,stroop_group,2026.1.3,MacIntel,60.24096386,64.9854,66.1341,right,1,0.611,,2,6,30,10,1,TR,mavi,blue,right,1,,,,,,,,,,,,,
,,645750,001,28,2026-05-07_12h59.02.995,stroop_group,2026.1.3,MacIntel,60.24096386,66.1354,67.3507,left,1,0.6824,,2,7,31,5,1,EN,blue,red,left,0,,,,,,,,,,,,,
,,645750,001,28,2026-05-07_12h59.02.995,stroop_group,2026.1.3,MacIntel,60.24096386,67.3519,69.001,down,1,1.1126,,2,8,32,2,1,EN,green,green,down,1,,,,,,,,,,,,,
,,645750,001,28,2026-05-07_12h59.02.995,stroop_group,2026.1.3,MacIntel,60.24096386,69.0024,72.0841,left,1,2.552,,2,9,33,6,1,TR,kırmızı,red,left,1,,,,,,,,,,,,,
,,645750,001,28,2026-05-07_12h59.02.995,stroop_group,2026.1.3,MacIntel,60.24096386,72.0855,73.2841,down,1,0.6611,,2,10,34,8,1,TR,yeşil,green,down,1,,,,,,,,,,,,,
,,645750,001,28,2026-05-07_12h59.02.995,stroop_group,2026.1.3,MacIntel,60.24096386,73.2855,74.5502,right,1,0.7305,,2,11,35,3,1,EN,green,blue,right,0,,,,,,,,,,,,,
,,645750,001,28,2026-05-07_12h59.02.995,stroop_group,2026.1.3,MacIntel,60.24096386,74.5514,75.9843,down,1,0.895,,3,0,36,7,1,TR,kırmızı,green,down,0,,,,,,,,,,,,,
,,645750,001,28,2026-05-07_12h59.02.995,stroop_group,2026.1.3,MacIntel,60.24096386,75.9856,78.1841,left,1,1.6623,,3,1,37,11,1,TR,mavi,red,left,0,,,,,,,,,,,,,
,,645750,001,28,2026-05-07_12h59.02.995,stroop_group,2026.1.3,MacIntel,60.24096386,78.1854,79.4508,left,1,0.7271,,3,2,38,0,1,EN,red,red,left,1,,,,,,,,,,,,,
,,645750,001,28,2026-05-07_12h59.02.995,stroop_group,2026.1.3,MacIntel,60.24096386,79.4522,80.7342,right,1,0.747,,3,3,39,3,1,EN,green,blue,right,0,,,,,,,,,,,,,
,,645750,001,28,2026-05-07_12h59.02.995,stroop_group,2026.1.3,MacIntel,60.24096386,80.7356,81.9502,down,1,0.6788,,3,4,40,1,1,EN,red,green,down,0,,,,,,,,,,,,,
,,645750,001,28,2026-05-07_12h59.02.995,stroop_group,2026.1.3,MacIntel,60.24096386,81.9515,83.2006,left,1,0.7122,,3,5,41,5,1,EN,blue,red,left,0,,,,,,,,,,,,,
,,645750,001,28,2026-05-07_12h59.02.995,stroop_group,2026.1.3,MacIntel,60.24096386,83.202,84.383,right,1,0.6471,,3,6,42,9,1,TR,yeşil,blue,right,0,,,,,,,,,,,,,
,,645750,001,28,2026-05-07_12h59.02.995,stroop_group,2026.1.3,MacIntel,60.24096386,84.3835,85.584,down,1,0.6895,,3,7,43,8,1,TR,yeşil,green,down,1,,,,,,,,,,,,,
,,645750,001,28,2026-05-07_12h59.02.995,stroop_group,2026.1.3,MacIntel,60.24096386,85.5854,88.9842,right,1,2.8626,,3,8,44,10,1,TR,mavi,blue,right,1,,,,,,,,,,,,,
,,645750,001,28,2026-05-07_12h59.02.995,stroop_group,2026.1.3,MacIntel,60.24096386,88.9857,90.2174,down,1,0.6946,,3,9,45,2,1,EN,green,green,down,1,,,,,,,,,,,,,
,,645750,001,28,2026-05-07_12h59.02.995,stroop_group,2026.1.3,MacIntel,60.24096386,90.2188,91.7674,right,1,1.0133,,3,10,46,4,1,EN,blue,blue,right,1,,,,,,,,,,,,,
,,645750,001,28,2026-05-07_12h59.02.995,stroop_group,2026.1.3,MacIntel,60.24096386,91.7687,92.9337,left,1,0.6279,,3,11,47,6,1,TR,kırmızı,red,left,1,,,,,,,,,,,,,
,,645750,001,28,2026-05-07_12h59.02.995,stroop_group,2026.1.3,MacIntel,60.24096386,92.9345,94.4508,right,1,0.9838,,4,0,48,3,1,EN,green,blue,right,0,,,,,,,,,,,,,
,,645750,001,28,2026-05-07_12h59.02.995,stroop_group,2026.1.3,MacIntel,60.24096386,94.4519,99.4508,left,1,4.463,,4,1,49,5,1,EN,blue,red,left,0,,,,,,,,,,,,,
,,645750,001,28,2026-05-07_12h59.02.995,stroop_group,2026.1.3,MacIntel,60.24096386,99.4523,100.6674,left,1,0.6777,,4,2,50,11,1,TR,mavi,red,left,0,,,,,,,,,,,,,
,,645750,001,28,2026-05-07_12h59.02.995,stroop_group,2026.1.3,MacIntel,60.24096386,100.6687,101.9842,down,1,0.7795,,4,3,51,1,1,EN,red,green,down,0,,,,,,,,,,,,,
,,645750,001,28,2026-05-07_12h59.02.995,stroop_group,2026.1.3,MacIntel,60.24096386,101.9856,103.0341,right,1,0.5127,,4,4,52,9,1,TR,yeşil,blue,right,0,,,,,,,,,,,,,
,,645750,001,28,2026-05-07_12h59.02.995,stroop_group,2026.1.3,MacIntel,60.24096386,103.0356,104.234,left,1,0.6636,,4,5,53,6,1,TR,kırmızı,red,left,1,,,,,,,,,,,,,
,,645750,001,28,2026-05-07_12h59.02.995,stroop_group,2026.1.3,MacIntel,60.24096386,104.2353,107.7673,down,1,2.9967,,4,6,54,8,1,TR,yeşil,green,down,1,,,,,,,,,,,,,
